Issue Type,Issue key,Status,Labels,Status Last Changed,Desired Ship Date,Priority
MakeIDB,MFG-155905,Ready for Print File Setup,reorder,26/Jan/22 10:03 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155904,Warming Oven,reorder,26/Jan/22 6:56 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155893,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155892,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155880,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155879,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155861,Ready for Print File Setup,reorder,26/Jan/22 9:24 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155860,Brackets in Printer Queue,reorder,26/Jan/22 11:21 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155841,Ready for Print File Setup,reorder,26/Jan/22 8:54 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155840,Debinding Program Started,reorder,27/Jan/22 8:03 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155836,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155835,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155808,Ready for Print File Setup,reorder,26/Jan/22 8:20 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155807,Debinding Program Started,reorder,27/Jan/22 8:03 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155789,Ready for Print File Setup,reorder,26/Jan/22 8:05 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155788,Brackets in Printer Queue,reorder,26/Jan/22 11:20 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155770,Ready for Print File Setup,reorder,26/Jan/22 8:06 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155742,Ready for Print File Setup,reorder,26/Jan/22 7:38 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155741,Brackets in Printer Queue,reorder,26/Jan/22 11:20 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155737,Ready for Print File Setup,reorder,26/Jan/22 7:34 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155723,Backlog,staged_treatment,25/Jan/22 11:10 PM,02/Mar/22 12:00 AM,Medium
MakeBrackets,MFG-155722,Backlog,staged_treatment,25/Jan/22 11:10 PM,02/Mar/22 12:00 AM,Medium
MakeIDB,MFG-155709,Ready for Print File Setup,reorder,27/Jan/22 8:10 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155708,Warming Oven,reorder,27/Jan/22 11:55 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155704,Ready for Print File Setup,reorder,25/Jan/22 8:11 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155703,Brackets in Printer Queue,reorder,26/Jan/22 11:21 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155684,Ready for Print File Setup,reorder,25/Jan/22 7:29 PM,04/Feb/22 12:00 AM,Medium
